EmployeeID,Department,YearsAtCompany,MonthlySalary,OvertimeHours,JobSatisfaction,Attrition
EMP-0001,Sales,7,5753.84,27,High,No
EMP-0002,Human Resources,4,6644.36,1,High,No
EMP-0003,R&D,13,4892.38,0,Very High,No
EMP-0004,R&D,11,5897.33,35,Medium,Yes
EMP-0005,Sales,8,9308.68,25,Medium,No
EMP-0006,Sales,13,6731.39,28,Medium,No
EMP-0007,Sales,5,7489.24,20,Medium,No
EMP-0008,R&D,7,4212.43,10,Very High,No
EMP-0009,Sales,10,10800.26,39,Medium,No
EMP-0010,R&D,3,9818.14,10,High,No
EMP-0011,R&D,7,8954.18,35,Medium,No
EMP-0012,Sales,11,7991.78,38,High,No
EMP-0013,R&D,11,6527.26,39,High,No
EMP-0014,Sales,8,7295.73,34,Medium,Yes
EMP-0015,Human Resources,5,8386.44,33,High,No
EMP-0016,R&D,4,5368.57,23,Medium,No
EMP-0017,Sales,8,5699.9,21,Low,No
EMP-0018,Sales,8,3495.56,4,Medium,No
EMP-0019,R&D,3,5110.73,32,Low,Yes
EMP-0020,R&D,6,9490.34,35,Medium,No
EMP-0021,R&D,5,5898.36,19,High,Yes
EMP-0022,R&D,2,5927.88,18,High,No
EMP-0023,Sales,8,7071.98,34,High,No
EMP-0024,Sales,12,3597.99,16,Low,No
EMP-0025,Sales,14,8201.69,33,High,No
EMP-0026,R&D,6,8779.53,8,Medium,No
EMP-0027,R&D,2,7179.13,25,Medium,Yes
EMP-0028,R&D,12,9472.43,1,Very High,No
EMP-0029,Sales,5,4111.7,8,Low,Yes
EMP-0030,R&D,1,9818.69,8,High,No
EMP-0031,R&D,12,5184.67,39,High,No
EMP-0032,R&D,10,4196.14,16,Medium,No
EMP-0033,R&D,6,6072.69,0,Medium,No
EMP-0034,Sales,13,9869.61,24,Medium,No
EMP-0035,Sales,12,6465.0,39,Very High,No
EMP-0036,R&D,9,4821.34,24,Medium,No
EMP-0037,R&D,1,4169.1,38,Medium,Yes
EMP-0038,Sales,11,6310.79,34,Medium,No
EMP-0039,R&D,11,3000.0,2,High,No
EMP-0040,R&D,10,4159.65,36,Low,No
EMP-0041,R&D,12,9277.52,29,Medium,No
EMP-0042,R&D,12,8881.87,37,High,No
EMP-0043,Sales,14,6268.86,33,Very High,No
EMP-0044,R&D,14,5661.8,11,Medium,No
EMP-0045,R&D,14,6605.32,18,Medium,No
EMP-0046,R&D,3,10726.39,36,Medium,No
EMP-0047,R&D,12,7228.96,16,High,No
EMP-0048,R&D,7,8137.53,9,Medium,No
EMP-0049,Sales,4,6135.58,11,High,No
EMP-0050,R&D,9,6609.61,15,High,No
EMP-0051,R&D,3,7664.89,23,High,Yes
EMP-0052,R&D,5,6726.97,18,Medium,No
EMP-0053,R&D,3,3084.72,7,Very High,No
EMP-0054,R&D,7,8804.97,30,High,No
EMP-0055,R&D,5,5392.76,20,High,No
